Headings,HMSO.L.csv,AAL.L.csv,ABF.L.csv,AMEC.L.csv,ANTO.L.csv,ARM.L.csv,ASHM.L.csv,AU.L.csv,AV.L.csv,AZN.L.csv,BA.L.csv,BARC.L.csv,BATS.L.csv,BG.L.csv,BLND.L.csv,BLT.L.csv,BNZL.L.csv,BP.L.csv,BRBY.L.csv,BSY.L.csv,BT-A.csv,CCL.L.csv,CNA.L.csv,CNE.L.csv,CPG.L.csv,CPI.L.csv,DGE.L.csv,EMG.L.csv,ENRC.L.csv,ESSR.L.csv,EXPN.L.csv,FRES.L.csv,GFS.L.csv,GKN.L.csv,GLEN.L.csv,GSK.L.csv,HL.L.csv,IAG.L.csv,IAP.L.csv,IHG.L.csv,IMI.L.csv,IMT.L.csv,INVP.L.csv,IPR.L.csv,ISAT.L.csv,ITRK.L.csv,ITV.L.csv,JMAT.L.csv,KAZ.L.csv,KGF.L.csv,LGEN.L.csv,LLOY.L.csv,LMI.L.csv,MGGT.L.csv,MKS.L.csv,MRW.L.csv,NG.L.csv,NXT.L.csv,OML.L.csv,PFC.L.csv,PRU.L.csv,PSON.L.csv,RB.L.csv,RBS.L.csv,RDSA.L.csv,REL.L.csv,REX.L.csv,RIO.L.csv,RR.L.csv,RRS.L.csv,RSA.L.csv,RSL.L.csv,SAB.L.csv,SBRY.L.csv,SDR.L.csv,SDRC.L.csv,SGE.L.csv,SHP.L.csv,SL.L.csv,SMIN.L.csv,SN.L.csv,SRP.L.csv,SSE.L.csv,STAN.L.csv,SVT.L.csv,TATE.L.csv,TLW.L.csv,TSCO.L.csv,ULVR.L.csv,UU.L.csv,VED.L.csv,VOD.L.csv,WEIR.L.csv,WOS.L.csv,WPP.L.csv,WTB.L.csv,XTA.L.csv
Scale,5.86796297,4.823639217,9.210225917,4.884389546,3.516945458,4.388368802,4.824070335,0.873625218,4.568840906,6.104447295,7.324325868,3.196866055,9.635118769,4.652836402,5.503728589,4.466481991,5.579512195,7.051835511,4.253633995,5.735087143,5.086422273,5.714412347,9.101849637,4.159677144,8.500997067,10.3271082,8.617097416,1.99579916,3.602206692,3.074562528,7.574080546,3.184507088,5.596231656,3.669492155,3.979258637,8.84098745,2.150673661,4.679324867,4.440078225,4.849232655,3.760297533,9.32051047,6.334295704,7.107151263,2.410680804,5.212737706,5.593803229,4.729915993,3.156169348,5.923698969,4.920533614,3.475554462,4.419687319,5.194689232,7.152317966,9.384368755,9.16486992,5.977769692,5.167463009,4.509026306,3.665810968,9.720451876,10.55873082,3.230445106,7.702897814,8.772453168,8.856261797,4.141219609,4.585907805,4.793610458,6.714236664,6.46869379,5.247534054,8.749692973,4.557914733,4.757878158,6.992232392,8.038302248,6.39480269,6.382910311,6.636762087,7.678138818,7.641156097,5.341952583,11.12287486,7.465262876,2.935731191,6.929644877,10.91659651,10.31746286,2.794177108,8.261437486,4.240344812,4.986093765,5.862059475,6.397432413,3.742726287
Offset,0.483065864,0.503780312,0.444039629,0.508188567,0.499607338,0.514251956,0.571305428,0.222334822,0.513103994,0.388150369,0.491921846,0.516642586,0.510110841,0.536828319,0.482374373,0.521319922,0.409512195,0.482468672,0.567188755,0.587900742,0.516494657,0.470490851,0.48503741,0.510673313,0.475434995,0.500957401,0.449204771,0.646450876,0.501086706,0.537524053,0.522094455,0.521937262,0.372160844,0.470397363,0.548429567,0.54551786,0.422542266,0.509100731,0.419724378,0.452191714,0.419305128,0.531152592,0.523068609,0.497750521,0.615469969,0.645845782,0.55328522,0.461744463,0.540437098,0.499359523,0.490836963,0.51139615,0.473856398,0.621876884,0.467832751,0.454390813,0.589211019,0.471109244,0.538948829,0.522646802,0.419544924,0.551303059,0.53703618,0.547953383,0.549274467,0.559707463,0.494548,0.443441911,0.395804658,0.493831391,0.505364571,0.481862955,0.481423203,0.500625219,0.508527561,0.497917016,0.545733022,0.512783418,0.478170195,0.509263245,0.527340988,0.47360546,0.553601393,0.517416833,0.499489238,0.477037632,0.404974734,0.404976935,0.443170316,0.505177143,0.52096606,0.511850473,0.519897208,0.442166473,0.415399039,0.384572522,0.530498976
20/05/2011,0.005050505,-0.003040027,0.031220435,-0.01095198,0.026644463,-0.007805724,-0.000555247,0.004988914,-0.007289294,-0.003292052,-0.009976526,-0.013876374,0.007522936,-0.017818959,-0.00084317,-0.000421763,-0.00794702,0.037039518,0.006706408,-0.001186944,0.010183299,-0.015145631,-0.006830177,-0.008782066,-0.003415884,-0.00698324,-0.004662005,-0.004391218,-0.009461857,0.015657864,-0.00877193,-0.003018868,-0.004613201,-0.007515265,-0.012899878,-0.004863449,0.009166667,-0.011182109,-0.013299557,0.003127443,-0.015369837,-0.012646793,0.016427105,-0.014268367,0,0.008302564,0.015064562,-0.013752456,0.009700889,-0.014385965,-0.003430532,-0.028609072,-0.009102731,-0.011707051,-0.002750688,0.0098264,0.016064257,-0.018518519,0.00539707,0.009162304,0.000675676,-0.003454231,0.013529412,-0.015421115,-0.009466636,-0.001768347,-0.006978547,-0.008433735,-0.018547141,0.004461148,-0.004344678,-0.003883495,-0.006331878,-0.002915452,-0.001203369,-0.008064516,-0.007567939,-0.00780437,-0.004225352,-0.0144,-0.005763689,-0.004806481,0.010550113,0.010725552,-0.008580858,-0.022292994,-0.000750751,0.012062726,-0.009063444,0.003990423,0.007105637,0.006657019,-0.00895208,-0.01884058,-0.001312336,0.001752336,-0.008746562
23/05/2011,-0.018425461,-0.040996104,-0.011009174,-0.023850085,-0.04460665,-0.035839161,-0.013888889,-0.0137893,-0.028682882,-0.01259201,-0.021339656,-0.013523392,-0.007284648,-0.025036284,-0.027848101,-0.027848101,-0.009345794,-0.021851924,-0.014803849,-0.001782531,-0.017641129,-0.02011041,-0.014692091,-0.022615994,-0.014567266,0.015471167,-0.011709602,-0.044506816,-0.026268657,-0.037045559,-0.03034134,-0.014383043,-0.016399287,-0.024136299,-0.048987945,-0.008518797,-0.01073493,-0.05088853,-0.004920839,-0.02416212,-0.031219512,-0.009606587,-0.031919192,-0.023714198,-0.011466011,-0.025017928,-0.024734982,-0.010458167,-0.033626902,-0.013883944,-0.018932874,-0.014338307,-0.028215223,-0.019834711,-0.004513541,-0.032435939,-0.015019763,0.010332435,-0.037576687,-0.017509728,-0.025658339,-0.013864818,-0.016831109,-0.014939759,-0.023310023,-0.025686448,-0.017959396,-0.019927096,-0.013968504,-0.005073703,-0.013090909,-0.012020793,-0.028784882,-0.013157895,-0.030722892,-0.03030303,-0.016291161,-0.013109596,-0.01650165,-0.017857143,-0.027536232,-0.006927989,-0.01043997,-0.0221598,-0.016644474,-0.004071661,-0.026296018,-0.011084625,-0.010162602,-0.025437202,-0.033396049,-0.013801035,-0.019659936,-0.0403742,-0.019710907,-0.022740525,-0.021809081
24/05/2011,-0.009172355,0.015191662,-0.010204082,0.013961606,0.016129032,0.008159565,0.011267606,0.002796421,-0.008977085,-0.005246944,-0.004542701,-0.015931827,-0.002568336,0.024562709,-0.0078125,0.017795139,0.004043127,0.004534049,0.008264463,0.005357143,0.008722422,-0.006036217,0.018337563,0.039599237,-0.00173913,-0.002077562,-0.001579779,-0.007133865,0.006131208,-0.002389486,0.009126467,0.041474654,0,0.015518914,0.036032301,0.000629422,0.006176962,-0.01787234,0.008170286,0.004792332,0.014098691,0.005080831,0.011686144,0.010094637,0.004971002,0.014084507,-0.013043478,0.010568697,0.023198012,-0.000361011,-0.009649123,-0.022213485,0.008777853,0.005902192,-0.028715365,0.005698961,0.002407705,-0.000444642,0.006374502,0.008580858,-0.00970201,-0.006151142,-0.002951594,-0.010763209,0.011455847,-0.001818182,0.006360986,0.020332259,0.014166387,0.01970339,-0.011790715,0.017428477,0.000226244,0.01362963,0.001864512,0.002286585,-0.005285412,0.004782147,-0.006232023,0.009090909,0.001490313,0.007285974,0.008289375,0,0.002708192,-0.000817661,0.006944444,-0.003856816,-0.001540041,0.002446982,0.01703163,0,-0.001084011,0.013340174,-0.001340483,-0.011336516,0.009502924
25/05/2011,0.001722282,0.002436054,-0.004686036,-0.012048193,0.015873016,0.003597122,0.005571031,-0.008923592,0.008104887,0.005764612,0.006084576,0.025715361,-0.013794372,0.010897203,0,-0.000426439,0.003355705,0.001752848,-0.016393443,-0.006512729,0.001525941,-0.005668016,-0.00834943,0.016291877,0.006097561,0.006245663,-0.006329114,0.010566357,0.014015844,0.022994012,0.001937984,-0.004424779,0.014860457,-0.000477555,-0.004840492,0.000378931,0.007964161,0.015164645,0.015355086,-0.001589825,0.013902681,-0.005514706,0.011344884,-0.013116802,-0.001648805,0.00617284,0.024963289,-0.003984064,0.017004049,0.010473095,0.001771479,0.020104544,0.001338688,-0.000558815,0.018153527,0.008,-0.012009608,-0.023576512,0,0.017015707,0.006298111,-0.007073386,-0.001776199,0.021018793,-0.000471921,0.001821494,0.015275217,0.008019441,-0.015748031,0.00997299,0.001491424,-0.010989011,-0.010631079,-0.000584624,0.006203474,0.013688213,0.007793128,-0.008461132,0.003376749,-0.007371007,-0.002232143,0.000904159,-0.004484305,0.018193425,0.004726536,-0.012274959,-0.009961686,0.007864489,-0.003084833,0.004068348,-0.004784689,-0.016909621,0.022246337,-0.003037975,-0.002013423,-0.004828002,0.00724113
26/05/2011,0.004943047,0.022044784,0.003766478,-0.00261324,0.029605263,0.011648746,0.018559557,-0.000562746,0.000472925,-0.00015921,-0.003023889,-0.004147854,0.013427825,0.000359324,0.01312336,0.00746587,0.006020067,0.014326334,-0.045454545,-0.001191895,-0.004570848,-0.024837134,-0.002513352,-0.004967261,-0.002597403,-0.002068966,-0.000796178,0.024675868,0.012019231,0.003746195,-0.012894907,0.022962963,0.001785714,0.010511228,-0.004021448,-0.003030303,0.005761317,0.004268032,0.009241756,-0.001592357,-0.009794319,0.005083179,0.004283092,-0.007594937,-0.007431874,0.007668712,-0.004297994,-0.0085,0.00477707,0,0.007073386,0.011430824,0.02540107,-0.000279564,-0.005094244,0.003637566,-0.001620746,0.016856492,0.010292953,0.019305019,0.009040334,-0.001780944,0.008007117,-0.010656333,0.004957507,-0.007272727,0.002853437,0.00012054,-0.0032,-0.007200165,-0.000744602,-0.004248366,0.005715592,0.003217315,-0.003699137,0.004501125,-0.006326889,-0.013333333,-0.004807692,-0.008250825,0.000745712,-0.002710027,0.011261261,-0.005015674,0.009408602,0.008285004,0.01006192,-0.011404562,-0.002578649,0.008103728,0.005769231,-0.006820878,0.053078556,-0.006602336,-0.00537996,-0.017586416,0.003594536
27/05/2011,0.011334474,0.016304348,-0.000938086,0.007860262,0.054313099,0.018600531,0.032907261,0.011261261,0.018199007,0.003025478,0.00303306,0.014559528,0.001104159,0.01329023,0.020725389,0.0120686,0.005984043,-0.00884097,0.023809524,-0.004176611,0.010204082,0.018371608,-0.001889764,0.003857499,0.017361111,0,0.021513944,0.033877551,0.016033254,0.052717518,0.013716525,0.020999276,0.002495544,0.022222222,0.006479523,0.000759878,0.024549918,0.001274968,0.00541103,0.018341308,0.019782394,-0.002298851,0.014622258,0.010204082,0.00249584,0.013191273,0.001438849,0.02118003,0.026941363,0.014295926,0.015803336,0.028059236,0.024771838,0.008948546,0.013568868,0.007907743,0.005681818,0.009408602,0.014106583,0.002525253,0.011026878,0.003568243,-0.002059429,0.034026928,0.002583979,0.005494505,0.015519917,0.028564541,0.011444623,0.021342727,0.014157973,0.019035117,0.011820868,0.00058309,0.00990099,0.013442868,0.014149275,0.020540541,0.009661836,0.014975042,0.008941878,0.009963768,0.014105419,0.011342155,0.009986684,-0.002465078,0.022222222,0.010321797,0.003102378,0.003215434,0.036806883,0.011645267,0,0.017893661,0.01081812,0.002469136,0.01969914
31/05/2011,0.013956439,0.012700535,0.011267606,0.003466205,0.006818182,-0.004347826,-0.001053186,0.000556793,0.014159703,0.0088903,-0.001511944,0.015622162,0.000735294,-0.002835874,0.010998308,0.005439331,0.013218771,0.018927445,0.02248062,-0.002995806,0.014141414,0.000820008,0.003786683,-0.002712477,0.008532423,0.017277125,0.009360374,0.014212396,-0.011689071,0.010192776,0.030927835,0.034042553,0.016714083,0.012950971,0.014575811,0.002277904,0.006389776,0.003820034,0.002483958,0.014095536,0.006789525,0.002764977,0.010808647,0.006628788,0.000829876,0.024536805,0.020833333,0.046419753,0.013888889,0.011627907,0.012100259,-0.014404852,0.017811705,0.016629712,0.007577671,-0.007518797,0.010492333,0.007545495,0.013910355,0.009445844,0.005453306,0.015111111,0.013266509,0.009706439,0.027179007,0.003642987,0.018848701,-0.004687134,0.009315538,0.017447758,0.010286554,0.003542673,0.010784093,0.006993007,0.003676471,0.008106116,0.012207883,0.015360169,0.00430622,0.013114754,0,0.034977578,0.008784773,0.014330218,-0.001977587,0.022240527,0.009745127,0.007331731,0.015979381,-0.003205128,-0.007837713,-0.002656434,0.005544355,0.033651431,0.01270903,0.004310345,0.001404988
01/06/2011,0.014181439,-0.004455446,0.00371402,-0.018134715,0.005267118,-0.001746725,-0.007696363,-0.001669449,-0.010986496,0.002360346,-0.002119927,-0.035414058,0.004041146,-0.030927835,-0.007531381,-0.004577611,0.003261579,-0.004697342,0.005307051,-0.002403846,0.004482072,-0.012290045,-0.004401132,-0.009066183,0,-0.016304348,0.001545595,-0.01012067,-0.015375517,-0.012941435,-0.006875,0.013717421,0.017838405,0,-0.032385615,-0.009848485,0,-0.006765328,-0.009498245,-0.013127413,0.000963391,0.003676471,0.002732673,-0.002822201,-0.00331675,-0.011246334,-0.013370866,-0.017932987,-0.0152207,-0.017415535,-0.004269855,-0.038269231,-0.003125,-0.007633588,-0.031336174,-0.005928854,-0.047923323,-0.000881057,-0.012957317,-0.01871491,-0.017627119,-0.014010508,-0.005237125,-0.018757327,-0.015282847,-0.003629764,-0.012,0.001883683,-0.01336478,-0.006979063,-0.005090909,-0.020539153,-0.002889531,-0.010706019,-0.003052503,-0.006578947,-0.017918677,0.005216484,-0.010957599,-0.011326861,0.003692762,-0.005095321,0.001451379,-0.013820639,-0.005944518,0.04995971,-0.022271715,-0.001312493,0.00456621,-0.006430868,-0.010223048,-0.043799941,-0.01754386,-0.01797862,-0.025099075,-0.026977315,-0.003858295
02/06/2011,-0.025909932,-0.022045417,-0.003700278,-0.012313105,-0.035928144,-0.000874891,0.007756056,-0.02173913,-0.009719972,-0.018838305,-0.012443096,-0.001483404,-0.006220271,-0.024211299,-0.019392917,-0.027173913,0.008452536,-0.022524938,-0.013574661,-0.001807229,-0.010907288,-0.006636251,-0.006630881,-0.027676121,0.004230118,0.018646409,0.000771605,-0.014549744,-0.018018018,-0.024666667,-0.005034613,-0.033829499,-0.001718213,-0.029223744,-0.005837712,-0.019510329,0.007936508,-0.001702852,-0.017094017,-0.021173709,-0.013474495,0,0.003199178,-0.00408805,-0.010815308,-0.014330274,-0.002853067,-0.032676598,-0.017774343,-0.009925558,-0.024871355,-0.030193961,-0.011912226,-0.003846154,-0.015010352,-0.001988072,-0.006711409,-0.00617284,-0.008494208,-0.014621742,-0.011732229,0.007992895,-0.006142147,-0.002150538,-0.016909891,-0.000910747,-0.009615385,-0.026439483,-0.007968127,-0.014257028,-0.005116959,-0.019986894,-0.011814534,-0.009359462,-0.023882425,-0.02281089,0.009122807,-0.018681889,-0.010115607,-0.003273322,-0.007358352,0.040831969,0.005072464,-0.012457178,-0.007973422,-0.017651573,-0.003128322,-0.009916368,-0.011111111,-0.008090615,-0.01314554,-0.004333024,-0.000510204,-0.030677882,-0.008130081,-0.003150599,-0.031338028
