Headings,HMSO.L.csv,AAL.L.csv,ABF.L.csv,AMEC.L.csv,ANTO.L.csv,ARM.L.csv,ASHM.L.csv,AU.L.csv,AV.L.csv,AZN.L.csv,BA.L.csv,BARC.L.csv,BATS.L.csv,BG.L.csv,BLND.L.csv,BLT.L.csv,BNZL.L.csv,BP.L.csv,BRBY.L.csv,BSY.L.csv,BT-A.csv,CCL.L.csv,CNA.L.csv,CNE.L.csv,CPG.L.csv,CPI.L.csv,DGE.L.csv,EMG.L.csv,ENRC.L.csv,ESSR.L.csv,EXPN.L.csv,FRES.L.csv,GFS.L.csv,GKN.L.csv,GLEN.L.csv,GSK.L.csv,HL.L.csv,IAG.L.csv,IAP.L.csv,IHG.L.csv,IMI.L.csv,IMT.L.csv,INVP.L.csv,IPR.L.csv,ISAT.L.csv,ITRK.L.csv,ITV.L.csv,JMAT.L.csv,KAZ.L.csv,KGF.L.csv,LGEN.L.csv,LLOY.L.csv,LMI.L.csv,MGGT.L.csv,MKS.L.csv,MRW.L.csv,NG.L.csv,NXT.L.csv,OML.L.csv,PFC.L.csv,PRU.L.csv,PSON.L.csv,RB.L.csv,RBS.L.csv,RDSA.L.csv,REL.L.csv,REX.L.csv,RIO.L.csv,RR.L.csv,RRS.L.csv,RSA.L.csv,RSL.L.csv,SAB.L.csv,SBRY.L.csv,SDR.L.csv,SDRC.L.csv,SGE.L.csv,SHP.L.csv,SL.L.csv,SMIN.L.csv,SN.L.csv,SRP.L.csv,SSE.L.csv,STAN.L.csv,SVT.L.csv,TATE.L.csv,TLW.L.csv,TSCO.L.csv,ULVR.L.csv,UU.L.csv,VED.L.csv,VOD.L.csv,WEIR.L.csv,WOS.L.csv,WPP.L.csv,WTB.L.csv,XTA.L.csv
Scale,5.86796297,4.823639217,9.210225917,4.884389546,3.516945458,4.388368802,4.824070335,0.873625218,4.568840906,6.104447295,7.324325868,3.196866055,9.635118769,4.652836402,5.503728589,4.466481991,5.579512195,7.051835511,4.253633995,5.735087143,5.086422273,5.714412347,9.101849637,4.159677144,8.500997067,10.3271082,8.617097416,1.99579916,3.602206692,3.074562528,7.574080546,3.184507088,5.596231656,3.669492155,3.979258637,8.84098745,2.150673661,4.679324867,4.440078225,4.849232655,3.760297533,9.32051047,6.334295704,7.107151263,2.410680804,5.212737706,5.593803229,4.729915993,3.156169348,5.923698969,4.920533614,3.475554462,4.419687319,5.194689232,7.152317966,9.384368755,9.16486992,5.977769692,5.167463009,4.509026306,3.665810968,9.720451876,10.55873082,3.230445106,7.702897814,8.772453168,8.856261797,4.141219609,4.585907805,4.793610458,6.714236664,6.46869379,5.247534054,8.749692973,4.557914733,4.757878158,6.992232392,8.038302248,6.39480269,6.382910311,6.636762087,7.678138818,7.641156097,5.341952583,11.12287486,7.465262876,2.935731191,6.929644877,10.91659651,10.31746286,2.794177108,8.261437486,4.240344812,4.986093765,5.862059475,6.397432413,3.742726287
Offset,0.483065864,0.503780312,0.444039629,0.508188567,0.499607338,0.514251956,0.571305428,0.222334822,0.513103994,0.388150369,0.491921846,0.516642586,0.510110841,0.536828319,0.482374373,0.521319922,0.409512195,0.482468672,0.567188755,0.587900742,0.516494657,0.470490851,0.48503741,0.510673313,0.475434995,0.500957401,0.449204771,0.646450876,0.501086706,0.537524053,0.522094455,0.521937262,0.372160844,0.470397363,0.548429567,0.54551786,0.422542266,0.509100731,0.419724378,0.452191714,0.419305128,0.531152592,0.523068609,0.497750521,0.615469969,0.645845782,0.55328522,0.461744463,0.540437098,0.499359523,0.490836963,0.51139615,0.473856398,0.621876884,0.467832751,0.454390813,0.589211019,0.471109244,0.538948829,0.522646802,0.419544924,0.551303059,0.53703618,0.547953383,0.549274467,0.559707463,0.494548,0.443441911,0.395804658,0.493831391,0.505364571,0.481862955,0.481423203,0.500625219,0.508527561,0.497917016,0.545733022,0.512783418,0.478170195,0.509263245,0.527340988,0.47360546,0.553601393,0.517416833,0.499489238,0.477037632,0.404974734,0.404976935,0.443170316,0.505177143,0.52096606,0.511850473,0.519897208,0.442166473,0.415399039,0.384572522,0.530498976
04/07/2011,0.010706197,0.004190845,0.00742115,0.006346328,0.015772512,0.026958719,0.004944376,0.021139166,-0.003809097,0.008322663,0.000313578,-0.010732442,0.011982571,0.008056042,0.022745735,0.005488921,-0.009363296,0.006961819,0.008837525,0.001177856,0.003001501,0.003256003,0.009205278,-0.03297491,0.002479339,-0.011157601,0.011700468,0.002888981,0.011875,0.014663462,0.005614473,0.003573981,0.006776034,0.002137666,-0.016257669,0.007121439,0.021103896,0.013359528,0.003218021,0.019607843,0.010309278,0.01228153,0,0,0.007155635,0.009254499,0.011120264,0.003498251,-0.002859185,0.000751315,-0.000833333,-0.018303484,0.004152249,0.014553781,-0.002176279,0.008474576,-0.001624695,0.001304348,-0.00295203,0.014407335,0.00408998,0.021240442,0.006371271,-0.014613253,0.010121457,0,-0.008101266,0.000992939,0.000772201,-0.002898551,0.008100147,-0.003097767,0.01081439,0.003952569,0.008212255,0.004480956,-0.002066116,0.00719055,0.004213483,0.01,-0.003706449,-0.011850501,0.00286123,-0.007177033,0.001338688,0.021001616,0.000798722,0.007977066,0.012425447,0.000819001,-0.003341289,0.003039514,0.020551144,0.00629845,0.00516129,0.009840098,0.003599712
05/07/2011,-0.00081483,-0.004815409,-0.007366483,-0.000900901,0.002795248,-0.013125513,0,0.001150086,0.002923977,0.005238095,-0.003448276,-0.012181195,0.009329028,0.008686588,-0.001588562,-0.004852406,-0.002520479,-0.007561845,-0.00606469,-0.005882353,0.017955112,-0.010141988,-0.002128306,0.001235483,0.000824402,0.019040903,0.00693909,0.017695473,0.006176652,-0.000473821,0.006203474,-0.002849003,0.008855827,0.009385666,0.010289991,0.002605136,0,0.003101978,-0.010825982,0.003076923,0.038033395,0.001399907,0.008780488,-0.005610973,0,-0.026999491,0,0.003486056,-0.007885305,0.002252252,0.00500417,-0.022052927,-0.009648518,-0.003372244,0.025081788,0.009747899,-0.00081367,0.015631785,0.008142117,-0.003227889,-0.003394433,0.004159734,0.029640288,0.017642547,-0.00089067,0.003490401,0.006380807,-0.012895404,0.007716049,-0.000968992,0.007304602,0.016834557,0.010480349,0.01211387,0.010025063,0.005947955,-0.001380262,0,0.005594406,-0.001650165,0.000744048,0.003690037,0.010699001,0,-0.002005348,0.003955696,0.03990423,0.006405342,-0.001472754,-0.002454992,-0.009099617,0.007878788,0.000915332,-0.000962927,0.008985879,-0.00182704,-0.011477762
06/07/2011,-0.007543323,0.00516129,0.002782931,-0.001803427,-0.005993031,0.024106401,-0.00797048,0.002871913,-0.018838305,-0.006789831,-0.00723498,-0.037572254,-0.004443654,-0.002411299,-0.016706444,0.004063389,0.000631712,-0.005616632,-0.016949153,-0.021301775,-0.006859383,-0.008196721,-0.006398537,0.000493583,-0.001647446,-0.003460208,0,-0.001617469,-0.023327195,-0.01185115,0.014796547,0.003571429,-0.008426966,0.003381234,0.016872428,0.009279881,-0.007949126,-0.029377658,-0.026550466,0.000766871,-0.012511171,0.002795899,-0.001934236,-0.027586207,-0.001776199,0.014659686,-0.025797692,-0.002977667,-0.01517341,0,0.004149378,-0.021115211,-0.006958942,-0.004945341,0.001329787,-0.003661784,0.002442997,0.002137666,-0.012481645,-0.014248705,-0.004768392,-0.014084507,-0.013415316,-0.018844221,0.002674393,-0.00173913,-0.00634035,-0.003126396,-0.001531394,0.005819593,-0.007976795,0.003761166,-0.007346586,-0.007480551,-0.010545906,-0.003695492,-0.007601935,0.005099439,-0.002642559,-0.020661157,0.017100372,0.038602941,-0.003528582,-0.007228916,-0.000669792,-0.007880221,0.007674597,-0.000712636,0.00245821,-0.009844135,-0.022232963,-0.009019844,-0.007773205,-0.004819277,-0.021628499,-0.000610128,0.008345428
07/07/2011,-0.047452753,0.020860077,-0.006475486,0.017163505,0.038278183,0.034090909,0.025145068,0.019473081,-0.001142857,0.004769475,-0.001901141,0.006006006,0.008569898,0.001035912,-0.021035599,0.02043707,0.006944444,0.012763535,0.009655172,-0.018137848,0.003453379,-0.004132231,0.004293162,0.020966946,0.00990099,-0.009027778,0.000765697,0.03564196,0.024512885,-0.006236508,0.012758202,0.027046263,-0.000708215,0.032013479,0.017806556,0.005148952,0.008814103,-0.004380725,0.02144493,0.019923372,0.009049774,0.000464684,0.011627907,-0.000322373,0.016014235,0.010835913,0.013240418,0.012941762,0.03081438,-0.002621723,0.02231405,0.010890052,0.012613875,0.011509286,0.000265604,0.004677581,0.003249391,0.023037543,0.017100372,0.012483574,0.002737851,0.010084034,-0.012747875,-0.021510883,0.018004001,0.006968641,-0.006380807,0.03046595,0.005368098,0.019286403,0.002192982,-0.013282034,0.013931215,-0.003617727,0.003134796,0.00148368,0.022632312,-0.00304414,-0.010830661,0.019409283,0.001461988,-0.003539823,0.007790368,0.003337379,0.003351206,0.014297061,0.008514851,0.001229559,0.012751349,0.004971002,0.018783984,0.008798544,0.005096774,-0.001937046,0.000650195,0.003052503,0.019791292
08/07/2011,-0.004744447,-0.016661427,0.016759777,-0.008880995,-0.038487508,-0.040816327,0.002975327,0.000561798,-0.002745995,-0.009810127,-0.013333333,-0.031840796,0.007966012,-0.025526043,-0.008264463,-0.02676978,-0.002507837,-0.008862949,-0.007513661,-0.07635468,-0.0093412,-0.02780083,0,-0.022952404,-0.007352941,-0.010511563,-0.005355777,0.015252249,-0.032515337,-0.039584842,-0.01139772,-0.013167013,-0.005669738,-0.02,-0.011530815,0.006220271,-0.011914218,-0.024,-0.003057481,-0.012021037,-0.015246637,0.006502555,-0.011494253,-0.028377943,-0.000875657,-0.008677897,-0.021320495,0.001965602,-0.03772242,-0.015771686,-0.004042037,-0.03542573,-0.022145329,0.007214895,0.006107276,-0.002660459,-0.005668016,0.00500417,0.001461988,-0.021414666,0,-0.013311148,-0.005164993,0.010206752,-0.01441048,-0.020761246,-0.006678654,-0.021413043,-0.00228833,-0.005676443,0.003646973,-0.008307056,-0.004723057,-0.008774584,-0.004375,-0.005185185,-0.01566224,0.007633588,0.010338346,-0.007450331,0.002189781,0.001776199,-0.007027407,-0.015724221,0.001336005,-0.006264683,-0.015994804,0.010684023,-0.006779661,0.000824402,-0.04269772,-0.005714286,-0.009655855,-0.006307618,-0.018843405,-0.01339014,-0.028228652
11/07/2011,-0.009967497,-0.028132992,-0.013736264,-0.012544803,0.003511236,0.02700491,-0.03528447,-0.016282987,-0.03832033,-0.004953659,-0.027027027,-0.038026721,-0.002634352,-0.005663717,-0.020833333,-0.006927465,-0.014456317,0.001308615,-0.026841019,-0.046,-0.024317618,-0.006402049,-0.010687023,-0.011622156,-0.004115226,-0.007790368,-0.006923077,-0.029661017,-0.027266963,-0.054284996,-0.024878641,0.007022472,-0.01318603,-0.020408163,-0.013475463,-0.012727273,-0.020900322,-0.027868852,-0.018605602,-0.024334601,-0.020947177,-0.012921089,-0.026162791,0.025887819,-0.01051709,-0.008238929,-0.021082221,-0.020598333,-0.022928994,-0.017550553,-0.034090909,-0.036726804,-0.016985138,-0.02539218,-0.026920032,-0.007002334,-0.004071661,-0.009128631,-0.025547445,-0.015251989,-0.03003413,-0.008431703,0.008076147,-0.074611399,-0.005095259,-0.009717314,-0.022498061,-0.011440631,-0.01529052,-0.002854424,-0.014534884,-0.026771061,0.002804142,-0.008852259,-0.01569366,-0.017870439,-0.002767209,0.011111111,-0.045581395,-0.00500417,-0.019664967,-0.021276596,-0.004246285,0,-0.010006671,-0.015760441,-0.003069839,-0.00218712,-0.010726475,-0.011532125,-0.031931069,-0.013914096,-0.022685185,-0.036132813,-0.021192053,-0.016656385,-0.007988381
12/07/2011,0.006565988,-0.015789474,-0.006499536,-0.009981851,-0.024492652,-0.04940239,-0.0145,-0.001712329,-0.014793605,-0.012365505,-0.011243386,-0.017094017,-0.008100018,-0.004627981,0.005106383,-0.01436192,-0.005102041,-0.012742322,0.016265912,-0.032844165,-0.002034588,-0.010309278,-0.000308642,-0.005504128,-0.009917355,-0.004282655,-0.015491867,-0.021834061,0.00065189,0.005846399,0.003733665,0.0041841,-0.005778259,-0.007227891,0.010907238,0.005524862,-0.013136289,-0.023187184,0.001458333,-0.015588465,-0.010232558,-0.011687705,-0.002985075,-0.015852475,-0.006200177,-0.00623053,-0.023689878,0.003505258,-0.01665405,0.003106796,-0.017647059,-0.021850613,-0.024478042,-0.009220232,0.011662598,0.000671592,-0.008994276,0.00921273,-0.018726592,0.000673401,-0.014074595,-0.005952381,0.001430615,0.007558791,-0.016254732,-0.006244425,-0.014550265,-0.013820225,-0.011645963,-0.004770992,-0.007374631,-0.025294221,-0.0006453,-0.005235602,0.003826531,-0.00075815,-0.004162331,0,-0.009259259,-0.015926236,-0.004457652,0.004528986,-0.005685856,-0.016589862,-0.027628032,-0.007205765,-0.011547344,-0.006088651,-0.009364219,-0.021666667,-0.012565445,-0.002760736,0.003315964,-0.03343465,-0.01217862,-0.013801757,-0.00988287
13/07/2011,0.013481192,0.014371658,-0.012149533,0.003666361,0.032281205,-0.00838223,-0.001268392,0.004574042,0.007507871,0,0.022742475,-0.008695652,-0.009231315,0.021101574,0.022861981,0.01623647,0.017948718,0.007170436,0.065414057,0.019508671,0.00254842,-0.005208333,0.001852424,0.009056604,-0.005008347,0.017921147,0,-0.002435065,0.022149837,-0.002642008,0.016738996,0.055555556,-0.00072648,0.015845824,0.009176162,-0.004395604,0.003327787,0.003884333,0.002912419,0.015043547,0.030075188,0.012771996,0.007984032,0.00887574,0.000891266,-0.001567398,0.014705882,0.008483034,0.050808314,-0.016260163,0.015397776,0.012081149,0.014760148,0.018346185,-0.024664879,-0.008053691,0.00660066,-0.000414938,0.012977099,0.01076716,0.009279086,0.009409752,-0.007428571,-0.013059183,0.009959258,-0.005385996,0.012348993,0.011963085,0.022780833,0.043144775,0.000742942,0.014272842,0.006241929,-0.000928793,0.019695044,0.023520486,-0.003831418,0.021978022,0.003443187,0.017887564,-0.001492537,0.000901713,0.012151537,0.010309278,0.006930007,-0.006451613,0.018691589,-0.000612595,-0.007960199,0.004258944,0.012057264,-0.007197785,0.021718602,0.016247379,0.010273973,-0.003180662,0.023659889
